#,Empresa,Segmento,Cidade,UF,Regiao,Telefone,Site,Email,Nota,Avals,Endereco,Google_Maps,Dist_Louveira_km,Enriquecido,Nome_Decisor,Status_Prospeccao,Observacoes
1,3D montagens salas limpas,Construtora,Barueri,SP,Foco,(11) 98180-6967,,,5,5,"R. Tomás Antônio Gonzaga, 46 - Parque Imperial, Barueri - SP, 06462-060",https://maps.google.com/?cid=7878002388734823217&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
2,4JBS Construções e Reformas,Construtora,Barueri,SP,Foco,(11) 4194-3041,,,5,1,"Av. Miná, 158 - Jardim Julio, Barueri - SP, 06447-320",https://maps.google.com/?cid=15038692870068463301&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
3,ABBER Construções Ltda,Construtora,Barueri,SP,Foco,(11) 3862-3555,http://www.abber.com.br/,,5,8,"Al. Rio Negro, 503 - Alphaville Industrial, Barueri - SP, 06454-000",https://maps.google.com/?cid=16095632422958751318&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
4,Acenge,Construtora,Barueri,SP,Foco,(11) 4326-5225,https://www.acenge.com.br/,,5,5,"Av. Trindade, 254 - Sl 708 - Bethaville I, Barueri - SP, 06404-326",https://maps.google.com/?cid=3999290946090486601&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
5,Acqua Park Barueri,Construtora,Barueri,SP,Foco,(11) 97408-9711,https://www.acquaparkbarueri.com.br/,,4.7,66,"Rua Dempachi Nakayama, 356 - Jardim Esperanca, Barueri - SP, 06413-010",https://maps.google.com/?cid=65510465699641715&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
6,Agência de profissionais altonomos,Construtora,Barueri,SP,Foco,(11) 93286-3270,,,,,"R. Luiz Gonçalves de Souza, n35 - casa 2 - Jardim Tupan, Barueri - SP, 06435-030",https://maps.google.com/?cid=17937443210336291732&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
7,Alexandre Ikier,Construtora,Barueri,SP,Foco,(11) 98645-8521,,,,,"Rua Inácio de Camargo, 32 - Vila Pouso Alegre, Barueri - SP, 06402-090",https://maps.google.com/?cid=4140944166041403326&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
8,Alp impacto,Construtora,Barueri,SP,Foco,(11) 91486-6196,https://alpimpactoevoltion.simdif.com/solu%C3%A7%C3%A3o.html,,,,"R. Goiânia, 35 - Jardim do Líbano, Barueri - SP, 06448-130",https://maps.google.com/?cid=13139280211540738973&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
9,Alpha Park View,Construtora,Barueri,SP,Foco,(11) 91487-0332,http://www.alphaparkview.com.br/,,4.6,42,"R. Gen. de Divisão Pedro Rodrigues da Silva, 668 - Nova Aldeinha, Barueri - SP, 06440-180",https://maps.google.com/?cid=14998247686174884339&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
10,Alpha Prime Engenheiros Associados,Construtora,Barueri,SP,Foco,(11) 95999-5848,https://www.alphaprimeeng.com.br/,,,,"Al. Rio Negro, 1.030 - 2º Andar - Alphaville Industrial, Barueri - SP, 06454-000",https://maps.google.com/?cid=11325136796740159039&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
11,Apartamento Eternity Alphaville,Construtora,Barueri,SP,Foco,(11) 98723-3015,https://eternityalphaville.site/,,5,1,"Av. Piraíba, 398 - Alphaville Empresarial, Barueri - SP, 06460-121",https://maps.google.com/?cid=11851701896121043581&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
12,Aquece Mais Solar,Construtora,Barueri,SP,Foco,(11) 93917-1276,https://aquece.mais.solar/,,5,12,"Av. Aníbal Correia, 297 - Parque Viana, Barueri - SP, 06447-010",https://maps.google.com/?cid=14523933647473263582&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
13,Argeu Silva,Construtora,Barueri,SP,Foco,(11) 97124-4582,,,,,"R. Raposo Taváres, 61 - Parque Imperial, Barueri - SP, 06462-070",https://maps.google.com/?cid=320987402141789242&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
14,ARKO - Gestão e Construção,Construtora,Barueri,SP,Foco,(11) 94134-1177,https://arkogestao.com.br/,,,,"Alameda Grajaú, 129 - Sl 202 - Alphaville, Barueri - SP, 06454-050",https://maps.google.com/?cid=17833002569400666301&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
15,Arqcamargo,Construtora,Barueri,SP,Foco,(11) 98867-6116,http://arqcamargo.com.br/,,,,"Av. Trindade, 374 - Bethaville I, Barueri - SP, 06404-326",https://maps.google.com/?cid=82336124539732877&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
16,ARQOS,Construtora,Barueri,SP,Foco,(11) 4195-7595,https://www.arqos.com.br/,,4.9,8,"Av. Andrômeda, 723 - 25º andar - Alphaville, Barueri - SP, 06473-000",https://maps.google.com/?cid=14049228682171856278&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
17,Asseab,Construtora,Barueri,SP,Foco,(11) 4706-4058,https://asseab.com.br/,,,,"R. Caldas Novas, 50 - Bethaville I, Barueri - SP, 06404-301",https://maps.google.com/?cid=17678755244604295189&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
18,Atria Engenharia e Construção,Construtora,Barueri,SP,Foco,,,,,,"Av. Andrômeda, 723 - sala 913 - Alphaville Empresarial, Barueri - SP, 06473-000",https://maps.google.com/?cid=10142916312939487868&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
19,Aura Tamboré,Construtora,Barueri,SP,Foco,(11) 4689-5353,https://auratambore.com.br/,,4.6,10,"Av. Marcos Penteado de Ulhôa Rodrigues, 3674 - Tamboré, Barueri - SP",https://maps.google.com/?cid=3444045064706880539&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
20,AVCB e CLCB - Eng. Lucas Lima,Construtora,Barueri,SP,Foco,(11) 94790-9759,https://englucas.com.br/,,5,3,"Av. José Dias da Silva, 96 - Parque Viana, Barueri - SP, 06447-010",https://maps.google.com/?cid=17538343932674601914&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
21,Basfer Construtora,Construtora,Barueri,SP,Foco,(11) 5622-3633,,,4,2,"Av. Henrique Gonçalves Baptista, 1161 - Vila Iracema, Barueri - SP, 06420-130",https://maps.google.com/?cid=1909875467057592827&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
22,Betha Pisos - Piso intertravado,Construtora,Barueri,SP,Foco,(11) 98720-4320,https://bethapisos.com.br/,,4.9,51,"Av. Anápolis, 100 - 6º Andar - Conjunto 05 - Vila Nilva, Barueri - SP, 06404-250",https://maps.google.com/?cid=8100316918817381375&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
23,Bless,Construtora,Barueri,SP,Foco,(11) 98402-1236,,,5,3,"R. Júlio Prestes, 241 - Jardim Belval, Barueri - SP, 06420-230",https://maps.google.com/?cid=18047499132720993465&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
24,BR Steel Frame,Construtora,Barueri,SP,Foco,(11) 94198-9910,http://brsteelframe.com.br/,,,,"R. João Euclídes Cortês, 386 - Jardim Esperanca, Barueri - SP, 06413-050",https://maps.google.com/?cid=6627612548896230066&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
