Rank,Cliente_BM,Empresa,Categoria,Gerencia_Obra,Cidade_Sede,Dist_Louveira_km,Telefone,Site,Avaliacao,Qtd_Avaliacoes,Score_ICP,Faixa_ICP,Score_Motivo,Endereco,Google_Maps,Nome_Decisor,Email,Status_Prospeccao,Observacoes
0,Giga6,Giga6 Construtora Ltda,Construtora,Sim (cliente BM),Jundiai,18,,https://www.giga6construtora.com.br/,,,,Cliente de referencia,,,,,,JA E CLIENTE - nao prospectar,Nao existe no Google Places - adicionada manualmente a partir do site oficial
1,,Dezotti Mendes Arquitetura e Engenharia,Arquitetura,Sim (indicio no nome),Louveira,0,(19) 99734-8287,https://dezottimendes.com.br/,4.8,22,79,A - abordar primeiro,Arquitetura +32; gerencia obra +12; 0km +15; site +10; tel +5; reputacao +5,"R. Nicola Argentieri, 30 - Vila Bossi, Louveira - SP, 13290-278",https://maps.google.com/?cid=12610436174719840969&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
2,,ZAHFER ARQUITETURA E CONSTRUÇÃO,Arquitetura,Sim (indicio no nome),Louveira,0,(11) 95310-8201,https://www.instagram.com/zahfer_bim/,5,14,79,A - abordar primeiro,Arquitetura +32; gerencia obra +12; 0km +15; site +10; tel +5; reputacao +5,"Estr. Mun. Rio Acima, 3830 - Monterrey, Louveira - SP, 13293-700",https://maps.google.com/?cid=2970003872353454768&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
3,,Everaldo Camilo Arquitetura Engenharia e Construção,Arquitetura,Sim (indicio no nome),Vinhedo,9,(11) 97030-3680,http://www.everaldocamilo.com.br/,5,9,79,A - abordar primeiro,Arquitetura +32; gerencia obra +12; 9km +15; site +10; tel +5; reputacao +5,"R. Manoel Matheus, 623 - Barra Funda, Vinhedo - SP, 13280-000",https://maps.google.com/?cid=12609723593768607857&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
4,,Magro Engenharia e Arquitetura Ltda,Arquitetura,Sim (indicio no nome),Vinhedo,9,(19) 3876-1570,http://www.magroengenharia.com.br/,4.8,5,79,A - abordar primeiro,Arquitetura +32; gerencia obra +12; 9km +15; site +10; tel +5; reputacao +5,"R. João Corazzari, 305 - Centro, Vinhedo - SP, 13280-091",https://maps.google.com/?cid=9320674185007569370&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
5,,"Laudos, Documentação de imóveis e Fiscalização de obras- Thelu Engenharia Inteligente",Engenharia,Sim (indicio no nome),Jundiai,18,(11) 91082-7639,https://theluengenharia.com.br/,5,5,77,A - abordar primeiro,Engenharia +35; gerencia obra +12; 18km +10; site +10; tel +5; reputacao +5,"R. Tocantins, 54 - Jardim Guanabara, Jundiaí - SP, 13211-818",https://maps.google.com/?cid=752658674122743207&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
6,,Alcel Pintura e Construção Civil Ltda,Construtora,Sim (indicio no nome),Louveira,0,(19) 99994-0028,http://alcel.com.br/,5,6,77,A - abordar primeiro,Construtora +30; gerencia obra +12; 0km +15; site +10; tel +5; reputacao +5,"Av. Silvério Finamore, 1325 - Leitão, Louveira - SP, 13293-262",https://maps.google.com/?cid=14242282392070647889&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
7,,KERTIS ENGENHARIA E CONSTRUTORA - Projetos e Construções de Casas,Construtora,Sim (indicio no nome),Louveira,0,(19) 99678-0768,https://www.instagram.com/kertisengenharia?igsh=azhnazVrNGN0dmdn,5,7,77,A - abordar primeiro,Construtora +30; gerencia obra +12; 0km +15; site +10; tel +5; reputacao +5,"R. Carlos Pagotto, 72 - Cidade Jardim, Louveira - SP, 13294-240",https://maps.google.com/?cid=2249859392413970028&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
8,,Engefort Engenharia e Gerenciamento de Obras,Engenharia,Sim (indicio no nome),Vinhedo,9,(19) 99206-1223,https://engefort-engenharia-e-gerenciamento-de-obras.negocio.site/?utm_source=gmb&utm_medium=referral,5,1,77,A - abordar primeiro,Engenharia +35; gerencia obra +12; 9km +15; site +10; tel +5,"Av. Salvador - R. Odair Rotella, 322 - Centro, Vinhedo - SP, 13280-158",https://maps.google.com/?cid=3196486775180289749&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
9,,WM Sistec Engenharia e Construção,Construtora,Sim (indicio no nome),Vinhedo,9,(19) 3886-4714,https://wmsistec.com.br/,5,6,77,A - abordar primeiro,Construtora +30; gerencia obra +12; 9km +15; site +10; tel +5; reputacao +5,"Av. Pres. Castelo Branco, 1000 - Nova Vinhedo, Vinhedo - SP, 13284-408",https://maps.google.com/?cid=3664092518872857663&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
