ID,Empresa,Razao_Social_CNPJ,Categoria,Especialidade,Cidade_Sede,UF,Eixo_Regional,Dist_Louveira_km,Raio_de_Atuacao,Porte_Estimado,Fundacao,Site,Telefone,Endereco,Social,Decisor_Alvo_Cargo,Nome_Decisor,Email,Gatilho_Comercial,Prioridade_ICP,Confianca_do_Dado,Fonte,Status_Prospeccao,Proxima_Acao,Observacoes
001,Verardo Engenharia & Arquitetura,CNPJ 32.682.451/0001-42,Engenharia,Engenharia e arquitetura - projetos e execucao,Louveira,SP,Eixo Louveira (Anhanguera/Bandeirantes),0,Louveira e regiao,Micro/Pequena,,,,"Bairro Santo Antonio, Louveira/SP",,Socio-Diretor / Engenheiro responsavel,,,,A,Media,Base publica CNPJ (busca web set/2026),Nao iniciado,Enriquecer contato (site/LinkedIn) e validar decisor,Unica empresa local que combina engenharia + arquitetura no mesmo CNPJ
002,Avanci Engenharia,CNPJ 29.036.906/0001-48,Engenharia,Engenharia civil,Louveira,SP,Eixo Louveira (Anhanguera/Bandeirantes),0,Louveira e regiao,Micro/Pequena,,,,"Bairro Leitao, Louveira/SP",,Socio-Diretor / Engenheiro responsavel,,,,A,Media,Base publica CNPJ (busca web set/2026),Nao iniciado,Enriquecer contato (site/LinkedIn) e validar decisor,
003,IR Anunciacao Engenharia,CNPJ 49.556.974/0001-45,Engenharia,Engenharia civil,Louveira,SP,Eixo Louveira (Anhanguera/Bandeirantes),0,Louveira,Micro,2023,,,"Bairro Cidade Jardim, Louveira/SP",,Socio-Diretor / Engenheiro responsavel,,,,A,Media,Base publica CNPJ (busca web set/2026),Nao iniciado,Enriquecer contato (site/LinkedIn) e validar decisor,CNPJ recente - empresa nova
004,R. A. Empreiteira,,Empreiteira,Empreitada de mao de obra / obras civis,Louveira,SP,Eixo Louveira (Anhanguera/Bandeirantes),0,Louveira,Micro,,,,"Rua 15, B, Sala 02 - Bairro Santo Antonio, Louveira/SP, CEP 13290-000",,Proprietario / Encarregado geral,,,,A,Media,Diretorio construtora.net.br,Nao iniciado,Enriquecer contato (site/LinkedIn) e validar decisor,
005,Alamo Engenharia,,Engenharia,Engenharia civil,Louveira,SP,Eixo Louveira (Anhanguera/Bandeirantes),0,Louveira e regiao,Micro/Pequena,,,(11) 3474-1xxx,"Rua Araqua, 44 - Bela Vista, Louveira/SP",,Socio-Diretor / Engenheiro responsavel,,,,A,Baixa,Guia local (GuiaMais),Nao iniciado,Enriquecer contato (site/LinkedIn) e validar decisor,CEP divergente na fonte (01306-020 e da capital) - confirmar endereco real
006,SCC Servicos Consolidados de Construcao Civil,SCC Servicos Consolidados de Construcao Civil Ltda,Construtora,Servicos especializados de construcao civil,Louveira,SP,Eixo Louveira (Anhanguera/Bandeirantes),0,Louveira e regiao,Pequena/Media,,,,Louveira/SP,,Socio-Diretor / Diretor de Obras,,,,A,Media,Ranking Econodata - maiores de construcao civil em Louveira,Nao iniciado,Enriquecer contato (site/LinkedIn) e validar decisor,Aparece entre as maiores da cidade por faturamento estimado
007,ANTC Stucco,ANTC Stucco Com. de Materiais de Construcao e Prest. de Servicos Especializados na Construcao Civil Ltda,Construtora,Servicos especializados + materiais,Louveira,SP,Eixo Louveira (Anhanguera/Bandeirantes),0,Louveira e regiao,Pequena/Media,,,,Louveira/SP,,Socio-Diretor / Diretor de Obras,,,,A,Media,Ranking Econodata - maiores de construcao civil em Louveira,Nao iniciado,Enriquecer contato (site/LinkedIn) e validar decisor,Modelo hibrido: servico + venda de material
008,Dino Construtora,,Construtora,Residencial,Louveira,SP,Eixo Louveira (Anhanguera/Bandeirantes),0,Louveira e regiao,Micro/Pequena,,,,Louveira/SP,facebook.com/construtoradino,Socio-Diretor / Diretor de Obras,,,,A,Media,Pagina oficial Facebook,Nao iniciado,Enriquecer contato (site/LinkedIn) e validar decisor,Sem site proprio - prospeccao via social/telefone
009,Beatriz Migliorini Arquitetura e Interiores,,Arquitetura,Arquitetura residencial e interiores,Louveira,SP,Eixo Louveira (Anhanguera/Bandeirantes),0,"Jundiai, Vinhedo, Valinhos, Campinas",Micro,,studiomigliorini.com.br,,Louveira/SP,,Socio / Arquiteto titular,,,,A,Alta,Site oficial,Nao iniciado,Enriquecer contato (site/LinkedIn) e validar decisor,Escritorio boutique - alto padrao residencial
010,Tamara Magalhaes Arquitetura e Interiores,,Arquitetura,Arquitetura e interiores,Louveira,SP,Eixo Louveira (Anhanguera/Bandeirantes),0,Louveira e regiao,Micro,,,(19) 99312-xxxx,Louveira/SP,,Socio / Arquiteto titular,,,,A,Media,Guia local (GuiaMais),Nao iniciado,Enriquecer contato (site/LinkedIn) e validar decisor,
011,Serrano Imoveis Consultoria e Construtora,Serrano Imoveis Consultoria e Construtora Ltda,Construtora e Incorporadora,Construcao + consultoria imobiliaria,Louveira,SP,Eixo Louveira (Anhanguera/Bandeirantes),0,"Louveira, Vinhedo, Itupeva",Pequena,,serranoimoveis.com.br,,Louveira/SP,,Socio-Diretor / Diretor Comercial,,,,A,Alta,Site oficial,Nao iniciado,Enriquecer contato (site/LinkedIn) e validar decisor,Modelo integrado construtora + imobiliaria - ciclo de venda proprio
012,D&D Engenharia,,Engenharia,Construcao em condominios de alto padrao,Jundiaí,SP,Eixo Jundiai,18,"Louveira, Jundiai, Vinhedo, Itupeva",Pequena/Media,,dedengenharia.com.br,,Jundiai/SP,,Socio-Diretor / Engenheiro responsavel,,,,A,Alta,Site oficial (pagina dedicada a Louveira),Nao iniciado,Enriquecer contato (site/LinkedIn) e validar decisor,Tem landing page especifica para Louveira - foco declarado na cidade
013,MD Savio Engenharia e Pericia,,Engenharia,"Engenharia, pericia e laudos tecnicos",Itupeva,SP,Eixo Louveira (Anhanguera/Bandeirantes),22,"Itupeva, Jundiai, Louveira, Vinhedo, Valinhos, Campinas",Micro/Pequena,,savioengenharia.com.br,,Itupeva/SP,,Socio-Diretor / Engenheiro responsavel,,,,A,Alta,Site oficial,Nao iniciado,Enriquecer contato (site/LinkedIn) e validar decisor,Nicho de pericia/laudo - perfil consultivo
014,Elemento Incorporadora e Construtora,,Construtora e Incorporadora,Edificios residenciais,Vinhedo,SP,Eixo Louveira (Anhanguera/Bandeirantes),9,"Louveira, Valinhos, Vinhedo",Pequena/Media,,elemento.com.br,,Vinhedo/SP,,Socio-Diretor / Diretor Comercial,,,,A,Alta,Site oficial,Nao iniciado,Enriquecer contato (site/LinkedIn) e validar decisor,Foco declarado no triangulo Louveira-Valinhos-Vinhedo - ICP central
015,Igor Mendes Arquitetura,,Arquitetura,Arquitetura residencial e comercial,Vinhedo,SP,Eixo Louveira (Anhanguera/Bandeirantes),9,"Campinas, Valinhos, Vinhedo, Louveira, Jundiai",Micro,,imarquitetura.com,,Vinhedo/SP,,Socio / Arquiteto titular,,,,A,Alta,Site oficial,Nao iniciado,Enriquecer contato (site/LinkedIn) e validar decisor,
016,IAS Construtora,,Construtora e Incorporadora,Residencial vertical,Valinhos,SP,Eixo Louveira (Anhanguera/Bandeirantes),17,Interior de SP / RMC,Media,2013,iasconstrutora.com.br,,Valinhos/SP,instagram.com/iasconstrutora,Socio-Diretor / Diretor Comercial,,,,A,Alta,Site oficial + Instagram,Nao iniciado,Enriquecer contato (site/LinkedIn) e validar decisor,Mais de 2.000 apartamentos entregues e ~1.900 familias atendidas em 13 anos - volume relevante
