ID,Empresa,Razao_Social_CNPJ,Categoria,Especialidade,Cidade_Sede,UF,Eixo_Regional,Dist_Louveira_km,Raio_de_Atuacao,Porte_Estimado,Fundacao,Site,Telefone,Endereco,Social,Decisor_Alvo_Cargo,Nome_Decisor,Email,Gatilho_Comercial,Prioridade_ICP,Confianca_do_Dado,Fonte,Status_Prospeccao,Proxima_Acao,Observacoes,Google_Maps,Avaliacao,Qtd_Avaliacoes,Status_Negocio
0001,AC Tampelli Arquitetura do bem-estar,,Arquitetura,Serviços,Itupeva,SP,Eixo Louveira,22,,,,http://www.actampelli.com/,(11) 93287-5757,"Tv. Familia Tozzi, 349 - Res. Tosi, Itupeva - SP, 13296-050",,Socio / Arquiteto titular,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=3819518721351912288&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,8,OPERATIONAL
0002,AG MANUTENÇÃO PREDIAL,,Construtora,Empreiteira,Itupeva,SP,Eixo Louveira,22,,,,https://agmanutencaopredial.com.br/,(11) 95871-0808,"R. São Sebastião, 152 - Santo Antônio 1, Itupeva - SP, 13295-642",,Socio-Diretor / Diretor de Obras,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=18162037217903938223&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,6,OPERATIONAL
0003,ALS Serviços,,Construtora,Empreiteira,Itupeva,SP,Eixo Louveira,22,,,,http://alsservicos.com.br/,(11) 98783-2265,"Rua Augusta Freitas Nogueira, 83 - Residencial Pacaembu II, Itupeva - SP, 13295-406",,Socio-Diretor / Diretor de Obras,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=15145878097212046477&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.5,2,OPERATIONAL
0004,ASJ | Fabrica de Telas em Itupeva,,Construtora,Empreiteira,Itupeva,SP,Eixo Louveira,22,,,,http://asjtelas.com.br/,(11) 91461-3987,"R. Jundiaí, 371 - Jardim Primavera, Itupeva - SP, 13295-160",,Socio-Diretor / Diretor de Obras,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=15602461363009496426&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.8,20,OPERATIONAL
0005,Adail Engenharia,,Engenharia,Serviços,Itupeva,SP,Eixo Louveira,22,,,,,(11) 97346-7973,"R. Santo Antônio, 270 - Moradia Do Sol, Itupeva - SP, 13295-000",,Socio-Diretor / Engenheiro responsavel,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=8865593666485725621&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.8,10,OPERATIONAL
0006,Alex André Terraplenagem,,Construtora,Empreiteira,Itupeva,SP,Eixo Louveira,22,,,,https://www.aaterra.com.br/,(11) 4591-1192,"Rod. Akzo Nobel, 200 - São Roque da Chave, Itupeva - SP, 13295-422",,Socio-Diretor / Diretor de Obras,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=5344713608065881007&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.5,54,OPERATIONAL
0007,Anabia Decor - Loja de Decoração de Interiores,,Arquitetura,Serviços,Itupeva,SP,Eixo Louveira,22,,,,http://www.anabiadecor.com.br/,(11) 4593-1740,"Av. Brasil, 1120 - Jardim Primavera, Itupeva - SP, 13295-059",,Socio / Arquiteto titular,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=9308431455988316204&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.9,88,OPERATIONAL
0008,Anderson Silva - Marido de Aluguel,,Construtora,Empreiteira,Itupeva,SP,Eixo Louveira,22,,,,,(11) 95997-0774,"R. Benedito Zonho, 170 - Vila Independencia, Itupeva - SP, 13295-626",,Socio-Diretor / Diretor de Obras,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=18154451968040453056&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,OPERATIONAL
0009,Anzo Engenharia Elétrica,,Engenharia,Serviços,Itupeva,SP,Eixo Louveira,22,,,,https://www.anzo.eng.br/,(11) 2580-3406,"R. José Marchi, 400 - São José, Itupeva - SP, 13298-014",,Socio-Diretor / Engenheiro responsavel,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=15931505909541480339&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.7,38,OPERATIONAL
0010,Arch Beit Arquitetura e Engenharia,,Arquitetura,Serviços,Itupeva,SP,Eixo Louveira,22,,,,https://www.instagram.com/archbeit/,(11) 96133-0524,"R. Santa Clara - Santo Antônio 1, Itupeva - SP, 13295-644",,Socio / Arquiteto titular,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=8000414918028583154&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,4,OPERATIONAL
