#,Empresa,Segmento,Cidade,Telefone,Site,Nota,Avals,Endereco,Google_Maps,Status
1,2 Side Arquitetura + Interiores,Arq,Barueri,(11) 98386-4215,instagram.com,,,"Alameda Araguaia, 2190 - Alphaville Industrial, Barueri - SP, 06455-000",https://maps.google.com/?cid=13270664435817772163&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
2,AJR ARQUITETURA,Arq,Barueri,(11) 4162-4182,arquiteturaajr.com,5,13,"Al. Rio Negro, 911 - Alphaville Comercial, Barueri - SP, 06454-000",https://maps.google.com/?cid=5460316340756551402&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
3,ALEXANDRE SILVESTRE ARQUITETURA E INTERIORES,Arq,Barueri,(11) 99772-5840,instagram.com,,,"Av. Trindade, 254 - cj 513 - 5 andar - Bethaville I, Barueri - SP, 06404-326",https://maps.google.com/?cid=9647426165401028556&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
4,ARQUITETURA PONTELAR,Arq,Barueri,(11) 98796-0353,,5,1,"Estr. das Pitas, 157 - Parque Viana, Barueri - SP, 06449-300",https://maps.google.com/?cid=16564789680085082181&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
5,ASÉ ARQUITETURA E URBANISMO,Arq,Barueri,(11) 95520-9626,sites.google.com,5,6,"Praça das Rosas, 88 Centro Comercial de - Alphaville, Barueri - SP, 06453-010",https://maps.google.com/?cid=3328634382507851423&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
6,AT Arquitetura,Arq,Barueri,(11) 4208-4209,atarquitetura.com.br,5,2,"Al. Rio Negro, 877 - 302 - Alphaville, Barueri - SP, 06454-000",https://maps.google.com/?cid=2402577850012950457&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
7,AVESSOSTUDIO - Design/Arquitetura,Arq,Barueri,(11) 94210-4240,instagram.com,3.8,9,"Rua Benedito Dias, 318 - Nova Aldeinha, Barueri - SP, 06440-145",https://maps.google.com/?cid=10004067544592630741&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
8,Adérito Nascimento Arquitetura,Arq,Barueri,(11) 4191-3412,aderitonascimento.com,5,1,"Calçada das Flôres, 21 - Alphaville Comercial, Barueri - SP, 06453-010",https://maps.google.com/?cid=12460660729305344836&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
9,Akatu arquitetura,Arq,Barueri,(11) 3135-6453,akatuarquitetura.com.br,5,20,"Al. Rio Negro, 503 - Sl B1305 - Alphaville Industrial, Barueri - SP, 06453-064",https://maps.google.com/?cid=1681932261951330430&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
10,Ana Cristina Fazzio Arquitetura,Arq,Barueri,(11) 4195-2096,anacristinafazzio.com.br,4.5,4,"Alameda Mamoré, 911 - Alphaville Industrial, Barueri - SP, 06454-040",https://maps.google.com/?cid=132827218765957679&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
