ID,Empresa,Categoria,Cidade,Telefone,Site,Nota,Avals,Status
1,AC Tampelli Arquitetura do bem-estar,Arquitetura,Itupeva,(11) 93287-5757,actampelli.com,5,8,Nao iniciado
2,Arch Beit Arquitetura e Engenharia,Arquitetura,Itupeva,(11) 96133-0524,instagram.com,5,4,Nao iniciado
3,Bruna Falcuci - Interiores,Arquitetura,Itupeva,(11) 91161-1478,linkr.bio,,,Nao iniciado
4,Do Lado Di Cá Interiores,Arquitetura,Itupeva,,doladodica.com.br,5,31,Nao iniciado
5,EDUARDO MUZI ARQUITETURA,Arquitetura,Itupeva,(19) 99666-2025,,4.5,2,Nao iniciado
6,ESTÚDIO CACTUS INTERIORES | TAILANI MOURA,Arquitetura,Itupeva,(11) 99913-3711,,5,8,Nao iniciado
7,F3V Arquitetura e Construção,Arquitetura,Itupeva,(11) 97268-0651,,,,Nao iniciado
8,Gercons Arquitetura,Arquitetura,Itupeva,(11) 4496-0700,admgercons.wixsite.com,5,14,Nao iniciado
9,Lorena Campos Arquitetura e Construção,Arquitetura,Itupeva,(11) 96187-1664,lorenacampos.com.br,4.9,39,Nao iniciado
10,Mia Casa Arquitetura e Construção,Arquitetura,Itupeva,(11) 99655-0286,linktr.ee,,,Nao iniciado
11,Munndo Arquitetura e Engenharia,Arquitetura,Itupeva,(11) 98305-1028,,5,2,Nao iniciado
12,PHM Arquitetura,Arquitetura,Itupeva,(11) 97085-5319,linktr.ee,5,34,Nao iniciado
13,Pilar Arquitetura,Arquitetura,Itupeva,(11) 99583-7518,pilararquitetura.arq.br,,,Nao iniciado
14,Prolima Arquitetura,Arquitetura,Itupeva,(11) 98303-6623,prolimaarquitetura.com.br,4.7,31,Nao iniciado
15,RC2 Arquitetura e Construção,Arquitetura,Itupeva,(11) 95871-3467,construtoraecampos.com.br,4.8,18,Nao iniciado
16,Redoma Arquitetura,Arquitetura,Itupeva,(11) 96446-0698,redomaarquitetura.com,5,15,Nao iniciado
17,SANSI Arquitetura Interiores,Arquitetura,Itupeva,(11) 97520-8739,instagram.com,5,15,Nao iniciado
18,Seed Arquitetura e Design,Arquitetura,Itupeva,(11) 98242-1803,,5,14,Nao iniciado
19,aTTo Arquitetura,Arquitetura,Itupeva,(11) 4496-1977,attoarquitetura.arq.br,4.5,11,Nao iniciado
20,AG MANUTENÇÃO PREDIAL,Construtora,Itupeva,(11) 95871-0808,agmanutencaopredial.com.br,5,6,Nao iniciado
21,ALS Serviços,Construtora,Itupeva,(11) 98783-2265,alsservicos.com.br,4.5,2,Nao iniciado
22,ASJ | Fabrica de Telas em Itupeva,Construtora,Itupeva,(11) 91461-3987,asjtelas.com.br,4.8,20,Nao iniciado
23,Barão construção,Construtora,Itupeva,(19) 99404-6372,baraoconstrucao.com.br,4.8,12,Nao iniciado
24,Base Forte Construção e Reforma,Construtora,Itupeva,(11) 98709-6900,jmnconstrucao.com.br,,,Nao iniciado
25,BmDmconstrucoes civil,Construtora,Itupeva,(11) 94354-0086,bmdmconstrucoes-civil.negocio.site,,,Nao iniciado
26,C.L.O construção e reformas - empreiteiro,Construtora,Itupeva,(11) 97887-8830,,5,21,Nao iniciado
27,Checchinato Participações,Construtora,Itupeva,(11) 99944-6898,checchinato.com.br,4.7,6,Nao iniciado
28,Consran Engenharia e Construtora Ranciar,Construtora,Itupeva,(11) 4496-4783,,,,Nao iniciado
29,Construtora Andrade Silva,Construtora,Itupeva,(11) 94707-0747,,,,Nao iniciado
30,Construtora GR,Construtora,Itupeva,(11) 94737-0249,construcoesgr.com.br,4.4,7,Nao iniciado
31,Construtora Mattone,Construtora,Itupeva,(11) 99648-1234,mattone.net.br,5,30,Nao iniciado
32,Construtora Sattler,Construtora,Itupeva,(11) 4593-3285,,,,Nao iniciado
33,Couto Camargo Construção Civil,Construtora,Itupeva,(11) 94018-3809,couto-camargo-construcao-civil.uen,5,2,Nao iniciado
34,Cândido Associados Construções Pré-Fabricados,Construtora,Itupeva,(11) 7880-1501,,5,2,Nao iniciado
35,DL instalações,Construtora,Itupeva,(19) 99122-0677,,5,10,Nao iniciado
36,Daits Metais,Construtora,Itupeva,(11) 4591-9242,daitsmetais.com.br,4.7,17,Nao iniciado
37,FABICONSTRU - ME,Construtora,Itupeva,(11) 97317-6164,fabiconstru.wixsite.com,4,6,Nao iniciado
38,Fagner construção,Construtora,Itupeva,(11) 95057-9111,,,,Nao iniciado
39,Fênix Construções Incorporações,Construtora,Itupeva,(11) 4591-3047,,,,Nao iniciado
40,GAV Engenharia Projetos e Construções,Construtora,Itupeva,(11) 99949-6823,gavengenharia.com.br,1,1,Nao iniciado
41,GSC Sistema Construtivo,Construtora,Itupeva,(11) 4496-2992,,5,1,Nao iniciado
42,Habitar Engenharia e Construções,Construtora,Itupeva,(11) 4496-1120,facebook.com,5,5,Nao iniciado
43,History Center Comercial e Industrial Ltda,Construtora,Itupeva,(11) 4591-2179,estacashc.com.br,5,1,Nao iniciado
44,Ipê Construtora,Construtora,Itupeva,(11) 4591-1989,,4.5,2,Nao iniciado
45,J A Itupeva,Construtora,Itupeva,(11) 92002-1762,sites.google.com,4.8,16,Nao iniciado
46,J G C Construtora & Planejamento,Construtora,Itupeva,(11) 4591-2096,,3,2,Nao iniciado
47,J.J.A CONSTRUÇÕES E REFORMAS,Construtora,Itupeva,(11) 94734-8916,,5,1,Nao iniciado
48,JMK Imóveis e Construções,Construtora,Itupeva,(11) 97509-0441,jmkimoveis.com.br,5,1,Nao iniciado
49,Jatobás Engenharia e Construção,Construtora,Itupeva,(11) 4496-1319,ojatobas.com.br,4.7,26,Nao iniciado
50,Jean café construção,Construtora,Itupeva,(11) 99414-4205,,,,Nao iniciado
51,Kronan Sistema Construtivo,Construtora,Itupeva,(11) 95315-8156,kronan.com.br,4.4,18,Nao iniciado
52,LGP Consultoria LTDA,Construtora,Itupeva,(11) 3963-6441,consultorialgp.com.br,5,1,Nao iniciado
53,LarBless,Construtora,Itupeva,(11) 4290-0785,,,,Nao iniciado
54,Leal Engenharia e Construtora Itupeva,Construtora,Itupeva,(11) 94723-3581,engenharialeal.com.br,5,91,Nao iniciado
55,Libercon - Canteiro Lyon fase II,Construtora,Itupeva,(11) 94160-9351,,5,1,Nao iniciado
56,Max Terra Planagem,Construtora,Itupeva,(11) 4593-1365,,3.7,11,Nao iniciado
